feature,importance_mean,importance_std
num__JoiningYear,0.13072513614216102,0.003914053927436711
num__PaymentTier,0.08131269704786474,0.005671865415594808
cat__Gender_Female,0.06781312697047864,0.003741836381855577
cat__City_Pune,0.06738320435654917,0.0033875186057568925
cat__Education_Masters,0.04952708512467756,0.003570170161999456
cat__Education_Bachelors,0.024964173115505896,0.002008147211877725
num__Age,0.018773287474921185,0.0031819437247312204
num__ExperienceInCurrentDomain,0.009028374892519352,0.0012961214164052724
cat__Education_PHD,0.003353396388650043,0.000529268710593851
cat__EverBenched_No,0.0027228432215534726,0.0004299226139294824
cat__City_New Delhi,0.0025508741759816544,0.0012122835186332255
cat__City_Bangalore,0.0,0.0
cat__Gender_Male,0.0,0.0
cat__EverBenched_Yes,0.0,0.0
