feature,importance_mean,importance_std
cat__City_Pune,0.05242189739180279,0.004413220723702585
cat__Gender_Female,0.026569217540842637,0.0027342837896787474
cat__Gender_Male,0.026569217540842637,0.0027342837896787474
cat__City_New Delhi,0.020922900544568634,0.002216407558518921
num__JoiningYear,0.017770134709085682,0.003116074044121974
num__PaymentTier,0.0106047578102608,0.0017481170171369368
cat__Education_Masters,0.005359701920321003,0.0021488486268531433
num__Age,0.0024362281456004387,0.0010274261008274593
cat__City_Bangalore,0.0020063055316709598,0.0011174312805742627
cat__EverBenched_No,0.001891659501289744,0.0008521678846270147
cat__EverBenched_Yes,0.001891659501289744,0.0008521678846270147
cat__Education_PHD,0.001318429349383765,0.0009349100848552466
num__ExperienceInCurrentDomain,0.0012611063341931628,0.002019365428926187
cat__Education_Bachelors,0.000401261106334172,0.0013209193031588303
