feature,importance_mean,importance_std
num__JoiningYear,0.1236457437661221,0.0036258789569202747
num__PaymentTier,0.07214101461736891,0.003451421553176486
cat__Education_Masters,0.06130696474634565,0.0029213655507680254
cat__Gender_Female,0.03880768128403554,0.0028146709537840947
cat__City_Pune,0.03462310117512184,0.0031652479661286492
num__Age,0.019145887073660106,0.0028367653841578945
cat__Education_Bachelors,0.016193751791344246,0.0016675480891704035
num__ExperienceInCurrentDomain,0.011751218114072814,0.0024421219150634376
cat__City_New Delhi,0.008283175695041589,0.001068194047210333
cat__Gender_Male,0.005331040412725729,0.0014625796299424726
cat__City_Bangalore,0.004471195184866749,0.002015293302521868
cat__Education_PHD,0.0034680424190312808,0.0005936461787677751
cat__EverBenched_No,0.0007165376898825126,0.0007165376898824905
cat__EverBenched_Yes,0.0004872456291201366,0.0005292687105938432
